Latitude,Longitude,Depth,Magnitude,Root Mean Square,Damage_Potential,Magnitude Type_MB,Magnitude Type_MD,Magnitude Type_MH,Magnitude Type_ML,Magnitude Type_MS,Magnitude Type_MW,Magnitude Type_MWB,Magnitude Type_MWC,Magnitude Type_MWR,Magnitude Type_MWW,Status_Automatic,Status_Reviewed
-55.91,-28.06,113.5,5.7,0.89,5.095714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-29.354,-177.104,33.0,5.6,1.34,5.265714285714286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-6.617,143.792,33.0,5.5,1.0675999999999992,5.2057142857142855,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-26.81,-177.161,97.5,6.0,0.926,5.321428571428571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
19.141,121.238,33.0,5.5,0.89,5.2057142857142855,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.758,127.371,41.0,5.9,1.1298999999999997,5.4228571428571435,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-55.37,-128.152,10.0,6.2,1.1,5.691428571428571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.136,-16.972,10.0,5.7,0.9,5.3914285714285715,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-9.543,107.241,10.0,5.7,1.03,5.3914285714285715,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
35.46,140.08,74.0,5.5,0.902500000000001,5.088571428571428,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-4.193,138.912,33.0,5.8,1.28,5.385714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
28.579,128.28,135.9,5.5,1.24,4.911714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-24.291,-69.173,88.8,5.8,0.95,5.226285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.232,127.45,39.0,5.5,0.88,5.188571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
58.3062,-136.9601,10.0,6.1,1.36,5.631428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
54.6859,162.3024,43.0,6.4,0.87,5.717142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
