iter	Passed	Remaining
0	5	1108
1	10	1067
2	15	1036
3	18	914
4	21	829
5	26	863
6	32	885
7	37	906
8	43	914
9	48	923
10	54	937
11	59	937
12	65	948
13	71	953
14	76	949
15	78	903
16	84	908
17	89	907
18	95	908
19	101	913
20	107	915
21	113	918
22	119	919
23	125	920
24	131	923
25	137	920
26	143	918
27	149	915
28	154	911
29	160	906
30	165	904
31	168	884
32	173	879
33	179	876
34	184	871
35	190	867
36	195	862
37	202	861
38	208	860
39	214	856
40	219	850
41	224	845
42	230	842
43	236	839
44	242	834
45	247	827
46	252	823
47	258	819
48	265	817
49	270	812
50	276	809
51	286	814
52	291	808
53	297	803
54	302	797
55	307	791
56	313	786
57	318	780
58	324	775
59	329	769
60	335	764
61	341	759
62	346	753
63	351	747
64	357	742
65	363	737
66	368	732
67	374	727
68	380	722
69	385	716
70	392	712
71	398	707
72	403	702
73	410	698
74	415	692
75	421	687
76	428	683
77	433	678
78	440	674
79	446	669
80	451	663
81	457	658
82	463	652
83	468	647
84	474	642
85	478	634
86	483	628
87	489	622
88	494	616
89	499	610
90	505	605
91	511	600
92	516	594
93	522	589
94	528	584
95	534	578
96	541	575
97	547	570
98	555	566
99	561	561
100	567	555
101	574	552
102	581	547
103	588	542
104	593	537
105	599	531
106	605	526
107	611	520
108	616	514
109	622	509
110	627	502
111	632	496
112	637	490
113	642	484
114	647	478
115	652	472
116	658	467
117	664	461
118	669	455
119	674	449
120	679	443
121	685	438
122	691	433
123	697	427
124	703	421
125	708	415
126	713	410
127	719	404
128	725	399
129	730	393
130	736	387
131	741	381
132	746	376
133	752	370
134	757	364
135	762	359
136	768	353
137	773	347
138	778	341
139	784	336
140	789	330
141	795	325
142	801	319
143	806	313
144	811	307
145	817	302
146	822	296
147	828	291
148	833	285
149	839	279
150	845	274
151	851	268
152	857	263
153	863	257
154	868	252
155	874	246
156	880	241
157	886	235
158	891	229
159	896	224
160	902	218
161	907	212
162	913	207
163	918	201
164	923	195
165	929	190
166	934	184
167	939	179
168	945	173
169	951	167
170	957	162
171	962	156
172	968	151
173	973	145
174	979	139
175	986	134
176	992	128
177	998	123
178	1004	117
179	1012	112
180	1018	106
181	1024	101
182	1029	95
183	1035	90
184	1040	84
185	1045	78
186	1050	73
187	1056	67
188	1061	61
189	1066	56
190	1071	50
191	1087	45
192	1092	39
193	1097	33
194	1102	28
195	1107	22
196	1112	16
197	1118	11
198	1123	5
199	1128	0
