iter	Passed	Remaining
400	25341	37854
401	25400	37785
402	25466	37725
403	25547	37689
404	25755	37838
405	25849	37819
406	25910	37751
407	25978	37694
408	26091	37702
409	26200	37703
410	26352	37765
411	26500	37821
412	26760	38034
413	26874	38039
414	26952	37992
415	27022	37935
416	27118	37914
417	27209	37884
418	27294	37848
419	27365	37790
420	27445	37745
421	27543	37725
422	27627	37686
423	27699	37629
424	27771	37573
425	27841	37514
426	27921	37469
427	28017	37443
428	28084	37380
429	28152	37318
430	28215	37249
431	28277	37179
432	28338	37108
433	28408	37048
434	28475	36985
435	28526	36900
436	28595	36840
437	28656	36769
438	28717	36698
439	28777	36626
440	28844	36562
441	28915	36503
442	28991	36452
443	29053	36382
444	29117	36314
445	29182	36248
446	29268	36209
447	29345	36158
448	29403	36082
449	29465	36013
450	29531	35947
451	29599	35885
452	29662	35817
453	29720	35742
454	29775	35664
455	29840	35599
456	29905	35533
457	29968	35465
458	30024	35388
459	30090	35324
460	30156	35258
461	30217	35187
462	30280	35120
463	30339	35046
464	30395	34970
465	30454	34898
466	30511	34823
467	30585	34768
468	30675	34730
469	30774	34703
470	30874	34676
471	30973	34648
472	31068	34615
473	31186	34608
474	31283	34576
475	31385	34550
476	31478	34513
477	31574	34480
478	31642	34417
479	31710	34353
480	31772	34283
481	31834	34212
482	31904	34150
483	31989	34104
484	32072	34055
485	32239	34096
486	32394	34124
487	32493	34091
488	32574	34039
489	32649	33981
490	32746	33947
491	32811	33878
492	32885	33818
493	32981	33783
494	33087	33756
495	33225	33761
496	33375	33778
497	33489	33758
498	33640	33775
499	33774	33774
500	33910	33774
501	34030	33759
502	34170	33763
503	34304	33759
504	34399	33718
505	34468	33650
506	34540	33586
507	34604	33514
508	34680	33454
509	34777	33413
510	34898	33395
511	34986	33346
512	35062	33285
513	35148	33234
514	35217	33165
515	35284	33096
516	35363	33037
517	35437	32974
518	35499	32899
519	35558	32822
520	35622	32750
521	35684	32676
522	35739	32596
523	35806	32526
524	35875	32458
525	35939	32386
526	36002	32313
527	36076	32250
528	36141	32179
529	36205	32106
530	36283	32047
531	36343	31971
532	36403	31895
533	36464	31821
534	36524	31745
535	36585	31670
536	36650	31600
537	36712	31526
538	36779	31457
539	36839	31382
540	36896	31304
541	36959	31231
542	37029	31164
543	37109	31106
544	37190	31049
545	37262	30983
546	37330	30915
547	37408	30855
548	37481	30791
549	37562	30732
550	37631	30665
551	37706	30602
552	37773	30533
553	37832	30457
554	37899	30387
555	37987	30335
556	38050	30262
557	38150	30219
558	38383	30281
559	38563	30299
560	38717	30297
561	38893	30312
562	38972	30250
563	39038	30178
564	39101	30104
565	39208	30064
566	39325	30031
567	39449	30004
568	39553	29960
569	39677	29932
570	39842	29933
571	40019	29945
572	40146	29917
573	40289	29901
574	40419	29875
575	40496	29809
576	40613	29773
577	40794	29784
578	40949	29775
