iter	Logloss
0	0.6447735925
1	0.6010244867
2	0.5653992741
3	0.530923618
4	0.500854902
5	0.4775567147
6	0.4582957073
7	0.4395714173
8	0.4238501505
9	0.4103284909
10	0.3988905342
11	0.3892662628
12	0.3813361223
13	0.3734621604
14	0.3667728947
15	0.3615149402
16	0.356486993
17	0.3520804633
18	0.3481650764
19	0.3445582309
20	0.3414931239
21	0.3384097911
22	0.3359611761
23	0.3337851349
24	0.332033916
25	0.330095187
26	0.3285040827
27	0.3269863749
28	0.3249084876
29	0.3235691398
30	0.3222153328
31	0.3208830741
32	0.3195064877
33	0.3183230162
34	0.3172016549
35	0.3164259131
36	0.3152339849
37	0.314012046
38	0.313224562
39	0.3125417385
40	0.311640244
41	0.3105793436
42	0.309804182
43	0.3093105257
44	0.3081677848
45	0.3076170108
46	0.3071518196
47	0.3066963997
48	0.3060085807
49	0.3055560381
50	0.3050507474
51	0.3046172135
52	0.3041708715
53	0.3037631192
54	0.3029321405
55	0.3025279802
56	0.3020459449
57	0.3016031652
58	0.3012900945
59	0.3009304896
60	0.3004332384
61	0.300133331
62	0.2997878163
63	0.2990539238
64	0.2988563237
65	0.2986318202
66	0.2981944188
67	0.2978722252
68	0.2976089097
69	0.2974659492
70	0.2971487211
71	0.2968137263
72	0.2963205435
73	0.296090546
74	0.2959237792
75	0.2957602886
76	0.2955264791
77	0.2952474537
78	0.2950284491
79	0.2948469589
80	0.2946431378
81	0.2940664298
82	0.2938618566
83	0.2936919826
84	0.2934961024
85	0.2932284975
86	0.2930813907
87	0.2929693746
88	0.2928017658
89	0.2925021135
90	0.2924085574
91	0.2922077939
92	0.2920891065
93	0.2919428552
94	0.291793255
95	0.291682097
96	0.291578078
97	0.2912629012
98	0.2911807963
99	0.2908011354
100	0.2907310834
101	0.2902183354
102	0.289857385
103	0.2896309293
104	0.2895088127
105	0.2893771963
106	0.2892365687
107	0.2891502478
108	0.2890295329
109	0.2889235201
110	0.2887798133
111	0.2885323518
112	0.2884339446
113	0.2882348575
114	0.2877608116
115	0.2874068766
116	0.2872446675
117	0.2869005477
118	0.2867797247
119	0.2866974151
120	0.286586082
121	0.2864990997
122	0.2860592839
123	0.2859275281
124	0.285856068
125	0.2857561276
126	0.2856315083
127	0.2855151481
128	0.2854166749
129	0.2851928899
130	0.2851309061
131	0.2849392919
132	0.2848093953
133	0.284694756
134	0.2845999385
135	0.2845789206
136	0.2845155333
137	0.2844519242
138	0.2843235609
139	0.2842564081
140	0.2841484828
141	0.2840888199
142	0.2839877655
143	0.2838572707
144	0.2837605496
145	0.28358147
146	0.2835621982
147	0.2834554657
148	0.2832598389
149	0.2829255269
150	0.2828590537
151	0.2828151623
152	0.2827241404
153	0.2824297684
154	0.2822913978
155	0.2822383012
156	0.2821822423
157	0.2820864001
158	0.2819932215
159	0.2817161548
160	0.2816104556
161	0.2815233148
162	0.2813304762
163	0.2812167592
164	0.2811295835
165	0.2809996362
166	0.2807082101
167	0.2806429221
168	0.2805096751
169	0.2804323862
170	0.2804158746
171	0.280389104
172	0.2803707126
173	0.2802747666
